Filename,Label,Contrast0,Contrast45,Contrast90,Contrast135,Homogeneity0,Homogeneity45,Homogeneity90,Homogeneity135,Dissimilarity0,Dissimilarity45,Dissimilarity90,Dissimilarity135,Entropy0,Entropy45,Entropy90,Entropy135,ASM0,ASM45,ASM90,ASM135,Energy0,Energy45,Energy90,Energy135,Correlation0,Correlation45,Correlation90,Correlation135
bebek-13.jpg_bright,bebek,385.48828125,579.0,357.59765625,680.0,0.9940717823447545,0.99109586934457,0.9945006973172269,0.9895426444806692,1.51171875,2.2705882352941176,1.40234375,2.6666666666666665,0.07053485420533842,0.06704973335653203,0.06908583260958023,0.0699260467750269,0.9787999567239389,0.9797227113281631,0.9792541418255223,0.9781843348039474,0.9893431946114245,0.9898094318242089,0.9895727066898734,0.9890320190994564,0.6127029743881932,0.22249136878524067,0.6400150457622735,0.08807424593967518
bebek-11.jpg,bebek,318.75,752.0,491.07421875,757.0000000000001,0.9950981146003137,0.9884353950727401,0.9924480328061083,0.9883585027527451,1.25,2.949019607843137,1.92578125,2.9686274509803923,0.07181025665810618,0.07823489658648661,0.08098482705381352,0.07841377201647536,0.9780521633055795,0.9753093434474452,0.9751490453406967,0.9752190610744603,0.9889651982277129,0.9875775126274622,0.9874963520645009,0.9875318025635733,0.7128302268181508,0.12781930854957108,0.5648695237882582,0.12302377956250518
bebek-11.jpg_flip,bebek,299.82421875,739.0000000000001,491.07421875,732.0,0.99538916404592,0.9886353151047274,0.9924480328061083,0.9887429643527205,1.17578125,2.898039215686275,1.92578125,2.8705882352941177,0.07152652579380656,0.07889904764593184,0.08098482705381352,0.07875786224445362,0.9780544483107083,0.9752164301991916,0.9751490453406967,0.975306477013765,0.9889663534775631,0.98753047051683,0.9874963520645009,0.9875760613814842,0.7343321027591596,0.1611331132146362,0.5648695237882582,0.17000837414736242
bebek-11.jpg_rot,bebek,787.91015625,1317.0,926.3671875,1419.0,0.9878831520276504,0.9797465629132962,0.9857538955571618,0.9781779595853967,3.08984375,5.1647058823529415,3.6328125,5.564705882352941,0.12281020414892527,0.13640069851241715,0.1286739478983842,0.13900120584811196,0.9593330853208126,0.9532318407686631,0.9571260879792328,0.9517292150817102,0.9794555045129986,0.9763359261896815,0.9783282107652997,0.9755660998013974,0.5777551741099962,0.2477611645315275,0.5058600895729515,0.18950120916494878
bebek-11.jpg_bright,bebek,322.734375,744.0,485.09765625,755.0000000000001,0.9950368410328176,0.9885584227847323,0.9925399431573524,0.9883892596807431,1.265625,2.9176470588235293,1.90234375,2.960784313725491,0.07147576186923928,0.07727719604670172,0.08022931218686362,0.0776006735279626,0.9782022844466371,0.975641993549046,0.9754201991261999,0.9754615509576139,0.9890410934064555,0.9877459154808215,0.9876336360848591,0.9876545706660876,0.7056052112367291,0.12304692838932595,0.565644923192837,0.11111518492038759
bebek-10.jpg,bebek,558.80859375,981.0,532.91015625,804.0,0.9914063821586749,0.9849137268169655,0.9918046603473994,0.9876357149447913,2.19140625,3.847058823529412,2.08984375,3.1529411764705886,0.0909447645576729,0.09385520649999098,0.08979016204568367,0.08947648990222065,0.9715089780814095,0.9689574152194445,0.9719005755138874,0.9715895951650217,0.9856515500324694,0.9843563456489953,0.9858501790403487,0.9856924445104679,0.5696912300445435,0.06779526582752467,0.5896342389907857,0.23670471514102218
bebek-10.jpg_flip,bebek,558.80859375,805.0,532.91015625,980.0,0.9914063821586749,0.9876203364807923,0.9918046603473994,0.9849291052809646,2.19140625,3.156862745098039,2.08984375,3.8431372549019605,0.0909447645576729,0.08945894053904417,0.08979016204568367,0.09389355542504159,0.9715089780814095,0.9715897246511966,0.9719005755138874,0.9689572024837104,0.9856515500324694,0.9856925101933142,0.9858501790403487,0.9843562375906958,0.5696912300445435,0.23504096737121036,0.5896342389907857,0.06961520004751462
bebek-10.jpg_rot,bebek,967.20703125,1581.0,982.1484375,1445.0000000000002,0.9851258414903269,0.975686648417556,0.9848960656122165,0.9777781195214224,3.79296875,6.2,3.8515625,5.666666666666668,0.13544320260972217,0.14951129324548035,0.13604991426555268,0.14624614040297407,0.9544219164644833,0.9471116316573595,0.954184188285455,0.9491058048386146,0.9769451962441308,0.9731966048324251,0.976823519518984,0.97422061404931,0.5190165126784221,0.16636178650617675,0.5118205033131484,0.23807260057016152
bebek-10.jpg_bright,bebek,554.82421875,963.0,518.96484375,788.0,0.991467655726171,0.9851905391689478,0.9920191178336357,0.9878817703687756,2.17578125,3.7764705882352945,2.03515625,3.0901960784313727,0.0891882976907793,0.0912302807522906,0.08759168925317881,0.08707144879423423,0.9721697741093794,0.9698312560410254,0.9727121379988691,0.9724349206475906,0.9859867007771349,0.9848001096877607,0.986261698535875,0.9861211490722581,0.5595130787938156,0.04934361345807136,0.5879826105055259,0.2228556164662632
bebek-14.jpg,bebek,279.90234375,625.0,371.54296875,622.0000000000001,0.9956955318834005,0.9903884600006152,0.9942862398309907,0.9904345953926124,1.09765625,2.4509803921568625,1.45703125,2.4392156862745105,0.060852673797694615,0.0623743233774372,0.06546705613267201,0.06239525150671997,0.9820071601207694,0.9806106307853973,0.9806119654390363,0.9806406560869368,0.9909627440629488,0.990257860754156,0.9902585346458955,0.9902730209830706,0.6859570830714588,0.026177954016729534,0.5831387615147834,0.032345050750891946
bebek-14.jpg_flip,bebek,279.90234375,623.0,371.54296875,624.0,0.9956955318834005,0.9904192169286131,0.9942862398309907,0.9904038384646142,1.09765625,2.443137254901961,1.45703125,2.4470588235294115,0.060852673797694615,0.06234452387052508,0.06546705613267201,0.062426500339702894,0.9820071601207694,0.9806407978713418,0.9806119654390363,0.9806104880549744,0.9909627440629488,0.9902730925716107,0.9902585346458955,0.9902577886868522,0.6859570830714588,0.029294184563876,0.5831387615147834,0.029233620045910895
bebek-14.jpg_rot,bebek,740.09765625,1211.0,794.8828125,1249.0,0.9886184348376034,0.9813766800971919,0.9877759232845325,0.9807922984652293,2.90234375,4.749019607843137,3.1171875,4.898039215686274,0.11079140313416494,0.1215296568987043,0.1130309429890938,0.12244742326104596,0.9640752395929075,0.9588461323765548,0.9632376679417173,0.9582838501915909,0.9818733317454484,0.9792068894654259,0.9814467219068579,0.9789197363377606,0.5386883951675092,0.18592801181741622,0.5048399106478033,0.16038322606106767
